"Solomon Islands","Administrative unit not available"
1901,25.60,25.88
1902,25.60,25.88
1903,25.60,25.88
1904,25.60,25.88
1905,25.60,25.88
1906,25.60,25.88
1907,25.60,25.88
1908,25.60,25.88
1909,25.60,25.88
1910,25.60,25.88
1911,25.60,25.88
1912,25.60,25.88
1913,25.60,25.88
1914,25.60,25.87
1915,25.60,25.88
1916,25.60,25.88
1917,25.60,25.88
1918,25.60,25.87
1919,25.60,25.87
1920,25.60,25.88
1921,25.60,25.88
1922,25.60,25.88
1923,25.60,25.87
1924,25.60,25.88
1925,25.60,25.88
1926,25.60,25.88
1927,25.60,25.88
1928,25.60,25.88
1929,25.60,25.88
1930,25.60,25.88
1931,25.60,25.87
1932,25.73,25.99
1933,25.65,25.92
1934,25.57,25.85
1935,25.51,25.80
1936,25.40,25.71
1937,25.45,25.75
1938,25.64,25.91
1939,25.60,25.88
1940,25.77,26.03
1941,25.67,25.94
1942,25.48,25.77
1943,25.48,25.77
1944,25.61,25.88
1945,26.06,26.28
1946,25.80,26.05
1947,25.94,26.18
1948,25.75,26.01
1949,25.87,26.11
1950,25.44,25.76
1951,25.65,25.92
1952,25.82,26.08
1953,25.41,25.69
1954,25.47,25.79
1955,25.21,25.54
1956,25.37,25.71
1957,25.26,25.57
1958,25.60,25.90
1959,25.53,25.83
1960,25.41,25.71
1961,25.40,25.69
1962,25.51,25.81
1963,25.37,25.66
1964,25.54,25.82
1965,25.08,25.34
1966,25.56,25.82
1967,25.39,25.66
1968,25.37,25.66
1969,25.60,25.89
1970,25.64,25.92
1971,25.40,25.68
1972,25.51,25.76
1973,25.83,26.10
1974,25.50,25.80
1975,25.25,25.56
1976,25.22,25.50
1977,25.41,25.70
1978,25.46,25.75
1979,25.64,25.93
1980,25.61,25.89
1981,25.79,26.07
1982,25.65,25.89
1983,25.78,26.04
1984,25.73,26.01
1985,25.79,26.06
1986,25.86,26.12
1987,26.06,26.32
1988,25.99,26.28
1989,25.90,26.18
1990,26.23,26.50
1991,25.65,25.92
1992,25.63,25.92
1993,25.61,25.89
1994,25.61,25.89
1995,25.69,25.96
1996,25.66,25.94
1997,25.60,25.88
1998,25.72,26.00
1999,25.71,25.98
2000,25.72,25.99
2001,25.60,25.88
2002,25.62,25.90
2003,25.64,25.91
2004,25.68,25.96
2005,25.67,25.95
2006,25.66,25.94
2007,25.63,25.91
2008,25.60,25.88
2009,25.67,25.95
2010,25.74,26.01
2011,25.60,25.88
2012,25.60,25.88
2013,25.60,25.88
2014,25.60,25.88
2015,25.60,25.88
2016,25.60,25.88
2017,25.60,25.88
2018,25.60,25.88
2019,25.60,25.88
2020,25.60,25.88
2021,25.60,25.88
